paper_experiment,model_scale,model_name,head_count,bucket,metric,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,beta,source
architecture_vs_optimizer,160m,GPT2-160M,12,head,soft_rank,AdamW,adamw,adamw,AdamW,0.441,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,soft_rank,Muon,muon,muon,Muon,0.884,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,soft_rank,NorMuon,normuon,normuon,NorMuon,0.898,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,soft_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.886,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,soft_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.699,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,hard_rank,AdamW,adamw,adamw,AdamW,0.263,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,hard_rank,Muon,muon,muon,Muon,0.593,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,hard_rank,NorMuon,normuon,normuon,NorMuon,0.429,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,hard_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.52,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,head,hard_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.349,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,soft_rank,AdamW,adamw,adamw,AdamW,0.449,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,soft_rank,Muon,muon,muon,Muon,0.885,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,soft_rank,NorMuon,normuon,normuon,NorMuon,0.93,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,soft_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.815,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,soft_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.679,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,hard_rank,AdamW,adamw,adamw,AdamW,0.242,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,hard_rank,Muon,muon,muon,Muon,0.927,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,hard_rank,NorMuon,normuon,normuon,NorMuon,0.945,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,hard_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.666,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,mid,hard_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.46,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,tail,soft_rank,AdamW,adamw,adamw,AdamW,0.618,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,tail,soft_rank,Muon,muon,muon,Muon,1.026,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,tail,soft_rank,NorMuon,normuon,normuon,NorMuon,1.042,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,tail,soft_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.952,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,12,tail,soft_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.718,processed_beta_values_from_main_paper_figure
