paper_experiment,model_scale,model_name,bucket,metric,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,beta_12h,beta_6h,architecture_shift_abs,optimizer_gain_star,best_optimizer_12h,architecture_shift_below_optimizer_gain,all_architecture_shifts_below_optimizer_gain,source
architecture_vs_optimizer,160m,GPT2-160M,head,soft_rank,AdamW,adamw,adamw,AdamW,0.441,0.691,0.24999999999999994,0.457,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,soft_rank,Muon,muon,muon,Muon,0.884,1.303,0.41899999999999993,0.457,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,soft_rank,NorMuon,normuon,normuon,NorMuon,0.898,0.765,0.133,0.457,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,soft_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.886,0.68,0.20599999999999996,0.457,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,soft_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.699,0.651,0.04799999999999993,0.457,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,hard_rank,AdamW,adamw,adamw,AdamW,0.263,0.608,0.345,0.32999999999999996,Muon,false,false,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,hard_rank,Muon,muon,muon,Muon,0.593,1.244,0.651,0.32999999999999996,Muon,false,false,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,hard_rank,NorMuon,normuon,normuon,NorMuon,0.429,0.489,0.06,0.32999999999999996,Muon,true,false,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,hard_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.52,0.39,0.13,0.32999999999999996,Muon,true,false,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,head,hard_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.349,0.388,0.039000000000000035,0.32999999999999996,Muon,true,false,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,mid,soft_rank,AdamW,adamw,adamw,AdamW,0.449,0.596,0.14699999999999996,0.48100000000000004,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
architecture_vs_optimizer,160m,GPT2-160M,mid,soft_rank,Muon,muon,muon,Muon,0.885,1.115,0.22999999999999998,0.48100000000000004,NorMuon,true,true,derived_from_architecture_vs_optimizer_beta_values.csv
