run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,rank_fraction_float,line_style,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_steps,aggregation,frequency_bucket_reduction
160m_adamw_1x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,1,768,soft_rank,tail,post,370.4324530796296,275.1531109469534,465.7117952123057,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_1x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,1,768,hard_rank,tail,post,154.70499999999998,72.46157705213248,236.94842294786747,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_2x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,2,1536,soft_rank,tail,post,585.817319775746,388.9609885419675,782.6736510095245,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_2x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,2,1536,hard_rank,tail,post,266.6,141.54445726119548,391.65554273880457,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_3x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,3,2304,soft_rank,tail,post,849.8800964356825,611.2946346005211,1088.4655582708438,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_3x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,3,2304,hard_rank,tail,post,353.035,192.79806699377187,513.2719330062281,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_4x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,4,3072,soft_rank,tail,post,1030.8620576472863,641.6302534507472,1420.0938618438254,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_4x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,4,3072,hard_rank,tail,post,436.715,240.8260588299399,632.6039411700601,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_5x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,5,3840,soft_rank,tail,post,1086.0086621761525,625.9916576757519,1546.025666676553,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_5x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,5,3840,hard_rank,tail,post,405.41,178.14460042843243,632.6753995715675,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_6x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,6,4608,soft_rank,tail,post,1218.3106728844589,765.0908734348734,1671.5304723340444,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_6x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,6,4608,hard_rank,tail,post,318.8,105.65384747641806,531.946152523582,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_7x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,7,5376,soft_rank,tail,post,1240.466531284544,669.0484526457022,1811.8846099233856,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_7x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,7,5376,hard_rank,tail,post,308.02,73.64507665940644,542.3949233405936,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_8x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,8,6144,soft_rank,tail,post,1297.4816717753934,710.9135596216139,1884.049783929173,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_8x,dion_rank_sweep_tail,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,,dashed_baseline,8,6144,hard_rank,tail,post,544.06,296.9553027024472,791.1646972975527,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_1x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,1,768,soft_rank,tail,post,344.3026698870321,191.31114015297757,497.2941996210868,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_1x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,1,768,hard_rank,tail,post,131.995,32.650604175081014,231.339395824919,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_2x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,2,1536,soft_rank,tail,post,752.9693324405379,444.946649847008,1060.9920150340677,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_2x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,2,1536,hard_rank,tail,post,290.04,108.53413557558385,471.5458644244162,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_3x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,3,2304,soft_rank,tail,post,1116.0546641859137,689.7384677428677,1542.3708606289597,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_3x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,3,2304,hard_rank,tail,post,430.4500000000001,185.18788889756289,675.7121111024372,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_4x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,3072,soft_rank,tail,post,1391.5821169458115,797.5212627465576,1985.6429711450653,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_4x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,3072,hard_rank,tail,post,550.295,213.5939851211396,886.9960148788603,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_5x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,5,3840,soft_rank,tail,post,1763.4334295122485,1096.0567184118522,2430.810140612645,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
