paper_experiment,model_scale,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,metric,beta,beta_lower,beta_upper,intercept,r_squared,std_err,n_widths,ci_method,bucket,frequency_bucket_reduction
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,soft_rank,0.4406921917745536,0.2338182282951784,0.6475661552539288,2.168276241971432,0.8191157211829649,0.08454491876425073,8,scipy_linregress_t_interval,head,rank0_local
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,hard_rank,0.26257488687053787,0.042773626151501404,0.48237614758957437,2.2326108865310506,0.5874707012194182,0.08982802581448834,8,scipy_linregress_t_interval,head,rank0_local
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,soft_rank,0.4491603981395953,0.23652538666126444,0.6617954096179262,2.900360377048709,0.8166030069014082,0.08689933459733461,8,scipy_linregress_t_interval,mid,rank0_local
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,hard_rank,0.24166354397230833,-0.08254733597297653,0.5658744239175932,3.632008189168098,0.3566804243577161,0.13249798112072764,8,scipy_linregress_t_interval,mid,rank0_local
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,soft_rank,0.617563177979049,0.5149513370442599,0.7201750189138382,1.8731427329010115,0.9730787776474963,0.041935242164714816,8,scipy_linregress_t_interval,tail,rank0_local
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,hard_rank,0.43810652304153463,0.12698124603687677,0.7492318000461925,2.3050447412536,0.6642801445199025,0.12715017795115746,8,scipy_linregress_t_interval,tail,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,soft_rank,0.8859369347697611,0.5899794171529764,1.1818944523865458,-0.7330799390297962,0.8994161155502673,0.12095144243260443,8,scipy_linregress_t_interval,head,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,hard_rank,0.51969737035806,-0.07764728795489495,1.117042028671015,0.5255685168222435,0.43030640139479026,0.24412185449505755,8,scipy_linregress_t_interval,head,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,soft_rank,0.8151654438878794,0.7528879347416738,0.8774429530340849,0.6354469731798975,0.9941849595837877,0.025451472302510214,8,scipy_linregress_t_interval,mid,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,hard_rank,0.6658096190204457,0.5626066012330914,0.7690126368078,0.9554576293722867,0.9764892368455107,0.042176843370274004,8,scipy_linregress_t_interval,mid,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,soft_rank,0.9524546157333913,0.8840448294774116,1.020864401989371,-0.4158498869575382,0.9948569219649552,0.027957601451707954,8,scipy_linregress_t_interval,tail,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,hard_rank,0.8789182144773834,0.747874571555325,1.0099618573994418,-0.836123932789044,0.9782087996561188,0.05355470528567249,8,scipy_linregress_t_interval,tail,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,soft_rank,0.6994686363558174,0.6078149489123813,0.7911223237992534,0.9903131598462585,0.9830851124554054,0.03745688161536998,8,scipy_linregress_t_interval,head,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,hard_rank,0.34894216734819433,0.14634877592788062,0.551535558768508,2.5434504330366403,0.7474964980944501,0.0827955414578409,8,scipy_linregress_t_interval,head,rank0_local
main_160m_width_sweep,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,soft_rank,0.678574321842002,0.6331255201139949,0.724023123570009,1.6063162372517903,0.9955247562068722,0.01857394321354496,8,scipy_linregress_t_interval,mid,rank0_local
