run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_samples,final_steps,aggregation,frequency_bucket_reduction
160m_adamw_1x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,1,768,soft_rank,global,post,430.83475823153265,306.2303816627182,555.4391348003471,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_1x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,1,768,hard_rank,global,post,211.17000000000002,96.16460673055111,326.17539326944893,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_2x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,2,1536,soft_rank,global,post,685.3537044816487,430.49053914065837,940.2168698226391,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_2x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,2,1536,hard_rank,global,post,273.62,104.03559838918864,443.2044016108114,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_3x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,3,2304,soft_rank,global,post,1018.9369173960288,666.3253335152197,1371.548501276838,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_3x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,3,2304,hard_rank,global,post,340.605,96.74451049334738,584.4654895066526,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_4x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,4,3072,soft_rank,global,post,1262.2639038845869,718.9258922429254,1805.6019155262484,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_4x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,4,3072,hard_rank,global,post,596.45,314.5976711771237,878.3023288228765,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_5x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,5,3840,soft_rank,global,post,1349.6196931476431,726.3725108736878,1972.8668754215985,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_adamw_5x,main_160m_width_sweep,160m,GPT2-160M,AdamW,adamw,adamw,AdamW,,5,3840,hard_rank,global,post,482.72,143.99770260316808,821.4422973968319,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
