paper_experiment,model_scale,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,metric,beta,beta_lower,beta_upper,intercept,r_squared,std_err,n_widths,ci_method
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,soft_rank,0.660599149016815,0.5464726751015166,0.7747256229321134,1.7258007244500853,0.9709589541436305,0.046641023856930364,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,AdamW,adamw,adamw,AdamW,,hard_rank,0.2887017437797793,-0.11518810638159516,0.6925915939411538,3.5601311439894516,0.3376907442333099,0.1650610545536493,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,soft_rank,0.9199105369109508,0.8353621840821331,1.0044588897397686,-0.0008456148472211211,0.9916059252753577,0.034553084889661585,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,hard_rank,0.786957239507938,0.6317633954682931,0.9421510835475828,0.06078705436762899,0.9624891291813256,0.06342437064754981,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,soft_rank,0.7443855151604417,0.7077621513522347,0.7810088789686487,1.275130618866478,0.9975801800694548,0.014967177434811197,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,hard_rank,0.5003063659185556,0.41862239379839444,0.5819903380387168,2.2233762253919727,0.9739823931017242,0.03338247438725586,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,Muon,muon,muon,Muon,,soft_rank,0.9580794716250579,0.7115692071852626,1.2045897360648532,-0.5146279763911741,0.9377863804402201,0.10074341850995797,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,Muon,muon,muon,Muon,,hard_rank,0.8206492746553862,0.08195497483204928,1.559343574478723,-0.7942523270342852,0.5518918180908372,0.30188839871289785,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,NorMuon,normuon,normuon,NorMuon,,soft_rank,1.006713966880737,0.858432578752504,1.15499535500897,-0.8804989159133125,0.9787217963636077,0.06059939928014018,8,scipy_linregress_t_interval
main_160m_width_sweep,160m,NorMuon,normuon,normuon,NorMuon,,hard_rank,0.7983581676366145,0.09440040604063693,1.502315929232592,-0.9573859215272327,0.562071151099546,0.2876923261226602,8,scipy_linregress_t_interval
