run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_steps,aggregation,frequency_bucket_reduction
350m_adamw_1x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,1,1024,hard_rank,tail,post,259.90999999999997,163.51585608096275,356.3041439190372,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_1x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,1,1024,soft_rank,tail,post,498.70163944233525,368.19016642943564,629.2131124552349,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_2x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,2,2048,hard_rank,tail,post,426.81,253.3261761289326,600.2938238710674,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_2x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,2,2048,soft_rank,tail,post,877.4482681193158,602.5581788574102,1152.3383573812214,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_3x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,3,3072,hard_rank,tail,post,398.57,202.16083766464618,594.9791623353537,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_3x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,3,3072,soft_rank,tail,post,995.0559045281423,615.4374825513404,1374.674326504944,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_4x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,4,4096,hard_rank,tail,post,462.645,227.40119236999908,697.8888076300009,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_adamw_4x,tail_350m_rank_scaling,350m,GPT2-350M,AdamW,adamw,adamw,AdamW,4,4096,soft_rank,tail,post,1100.1220647739933,591.5965088722405,1608.647620675746,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_muon_1x,tail_350m_rank_scaling,350m,GPT2-350M,Muon,muon,muon,Muon,1,1024,hard_rank,tail,post,165.89999999999998,29.679973493035988,302.120026506964,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_muon_1x,tail_350m_rank_scaling,350m,GPT2-350M,Muon,muon,muon,Muon,1,1024,soft_rank,tail,post,477.2560838431263,302.5921526130278,651.9200150732248,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
