run_id,paper_experiment,model_scale,model_name,num_layers,base_ffn_dim,width_multiplier,ffn_hidden_dim,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,num_gpus,seed,frequency_bucket_reduction,log_dir,notes
350m_adamw_1x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,1,1024,AdamW,adamw,adamw,AdamW,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/adamw/1d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_adamw_2x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,2,2048,AdamW,adamw,adamw,AdamW,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/adamw/2d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_adamw_3x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,3,3072,AdamW,adamw,adamw,AdamW,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/adamw/3d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_adamw_4x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,4,4096,AdamW,adamw,adamw,AdamW,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/adamw/4d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_muon_1x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,1,1024,Muon,muon,muon,Muon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/muon/1d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_muon_2x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,2,2048,Muon,muon,muon,Muon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/muon/2d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_muon_3x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,3,3072,Muon,muon,muon,Muon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/muon/3d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_muon_4x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,4,4096,Muon,muon,muon,Muon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/muon/4d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_normuon_1x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,1,1024,NorMuon,normuon,normuon,NorMuon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/normuon/1d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_normuon_2x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,2,2048,NorMuon,normuon,normuon,NorMuon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/normuon/2d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_normuon_3x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,3,3072,NorMuon,normuon,normuon,NorMuon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/normuon/3d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_normuon_4x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,4,4096,NorMuon,normuon,normuon,NorMuon,8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/normuon/4d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_dion_r1_16_1x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,1,1024,Dion,dion_r1_16,dion_r1_16,Dion (1/16),8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/dion_r1_16/1d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_dion_r1_16_2x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,2,2048,Dion,dion_r1_16,dion_r1_16,Dion (1/16),8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/dion_r1_16/2d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_dion_r1_16_3x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,3,3072,Dion,dion_r1_16,dion_r1_16,Dion (1/16),8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/dion_r1_16/3d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
350m_dion_r1_16_4x,tail_350m_rank_scaling,350m,GPT2-350M,24,1024,4,4096,Dion,dion_r1_16,dion_r1_16,Dion (1/16),8,not_recorded,rank0_local,external://submitted_logs/tail_350m_rank_scaling/dion_r1_16/4d/eigen_metrics_logs,legacy submitted-run GPT2-350M TAIL-token logs; full raw logs are external artifacts
