Step 1: SE_pre=5.471, SE_post=4.836, PR_pre=89.41, PR_post=30.14, EEE_pre=0.717, EEE_post=0.762, JS=0.0313
Step 200: SE_pre=1.939, SE_post=2.814, PR_pre=4.85, PR_post=10.01, EEE_pre=0.993, EEE_post=0.982, JS=0.0587
Step 400: SE_pre=2.325, SE_post=3.599, PR_pre=7.06, PR_post=16.85, EEE_pre=0.989, EEE_post=0.954, JS=0.0865
Step 600: SE_pre=2.587, SE_post=4.119, PR_pre=8.69, PR_post=27.53, EEE_pre=0.986, EEE_post=0.923, JS=0.1090
Step 800: SE_pre=2.783, SE_post=4.387, PR_pre=10.06, PR_post=35.27, EEE_pre=0.982, EEE_post=0.899, JS=0.1124
Step 1000: SE_pre=2.953, SE_post=4.530, PR_pre=11.43, PR_post=38.53, EEE_pre=0.979, EEE_post=0.882, JS=0.1047
Step 1200: SE_pre=3.100, SE_post=4.623, PR_pre=13.08, PR_post=40.76, EEE_pre=0.975, EEE_post=0.869, JS=0.0969
Step 1400: SE_pre=3.185, SE_post=4.717, PR_pre=13.99, PR_post=43.35, EEE_pre=0.973, EEE_post=0.855, JS=0.0967
Step 1600: SE_pre=3.283, SE_post=4.769, PR_pre=15.12, PR_post=44.74, EEE_pre=0.970, EEE_post=0.846, JS=0.0911
Step 1800: SE_pre=3.357, SE_post=4.851, PR_pre=16.26, PR_post=47.61, EEE_pre=0.967, EEE_post=0.833, JS=0.0930
Step 2000: SE_pre=3.411, SE_post=4.893, PR_pre=16.78, PR_post=48.46, EEE_pre=0.965, EEE_post=0.825, JS=0.0905
Step 2200: SE_pre=3.475, SE_post=4.922, PR_pre=17.60, PR_post=49.89, EEE_pre=0.963, EEE_post=0.820, JS=0.0863
Step 2400: SE_pre=3.529, SE_post=4.956, PR_pre=18.30, PR_post=51.78, EEE_pre=0.961, EEE_post=0.814, JS=0.0842
Step 2600: SE_pre=3.570, SE_post=4.928, PR_pre=18.81, PR_post=47.14, EEE_pre=0.959, EEE_post=0.813, JS=0.0776
Step 2800: SE_pre=3.601, SE_post=4.994, PR_pre=18.74, PR_post=51.56, EEE_pre=0.957, EEE_post=0.804, JS=0.0796
Step 3000: SE_pre=3.641, SE_post=5.029, PR_pre=19.18, PR_post=53.99, EEE_pre=0.955, EEE_post=0.797, JS=0.0786
Step 3200: SE_pre=3.661, SE_post=5.048, PR_pre=19.19, PR_post=53.24, EEE_pre=0.954, EEE_post=0.793, JS=0.0789
Step 3400: SE_pre=3.714, SE_post=5.053, PR_pre=20.22, PR_post=53.04, EEE_pre=0.952, EEE_post=0.791, JS=0.0753
Step 3600: SE_pre=3.710, SE_post=5.103, PR_pre=19.33, PR_post=56.34, EEE_pre=0.951, EEE_post=0.782, JS=0.0789
Step 3800: SE_pre=3.744, SE_post=5.102, PR_pre=19.97, PR_post=55.64, EEE_pre=0.950, EEE_post=0.781, JS=0.0761
Step 4000: SE_pre=3.754, SE_post=5.101, PR_pre=19.65, PR_post=54.25, EEE_pre=0.949, EEE_post=0.779, JS=0.0745
Step 4200: SE_pre=3.775, SE_post=5.128, PR_pre=19.65, PR_post=56.38, EEE_pre=0.947, EEE_post=0.775, JS=0.0748
Step 4400: SE_pre=3.801, SE_post=5.122, PR_pre=20.19, PR_post=55.77, EEE_pre=0.946, EEE_post=0.773, JS=0.0724
Step 4600: SE_pre=3.812, SE_post=5.137, PR_pre=20.15, PR_post=55.93, EEE_pre=0.945, EEE_post=0.771, JS=0.0730
Step 4800: SE_pre=3.816, SE_post=5.154, PR_pre=19.86, PR_post=54.76, EEE_pre=0.945, EEE_post=0.765, JS=0.0744
Step 5000: SE_pre=3.835, SE_post=5.155, PR_pre=20.01, PR_post=54.78, EEE_pre=0.943, EEE_post=0.764, JS=0.0727
Step 5200: SE_pre=3.835, SE_post=5.169, PR_pre=20.05, PR_post=55.06, EEE_pre=0.943, EEE_post=0.759, JS=0.0738
Step 5400: SE_pre=3.858, SE_post=5.194, PR_pre=20.20, PR_post=57.16, EEE_pre=0.942, EEE_post=0.756, JS=0.0743
Step 5600: SE_pre=3.868, SE_post=5.215, PR_pre=20.52, PR_post=58.86, EEE_pre=0.941, EEE_post=0.753, JS=0.0753
Step 5800: SE_pre=3.868, SE_post=5.202, PR_pre=20.46, PR_post=56.40, EEE_pre=0.941, EEE_post=0.752, JS=0.0744
Step 6000: SE_pre=3.874, SE_post=5.181, PR_pre=20.48, PR_post=55.19, EEE_pre=0.941, EEE_post=0.756, JS=0.0723
